   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
         0   3000           12352406       93368.435      2.1212348      207635.01      205535.57      2099.4433    
      1000   358806.98      3554123.4      109982.46      1.8007997      131284.23     -119814.07      251098.3     
      2000   291252.03      2355880        124108.48      1.5958328      71958.102     -131864.27      203822.37    
      3000   234626.87      1590858.3      136893.53      1.4467914      27485.04      -136710.23      164195.27    
      4000   194729.77      1164326.2      148602.6       1.3327921     -6028.34       -142303.04      136274.7     
      5000   163166.05      844639.33      159368.87      1.2427545     -31783.773     -145969.73      114185.96    
      6000   138941.99      655561.16      169273.61      1.1700369     -52037.561     -149271.17      97233.609    
      7000   120828.12      491320.89      178398.49      1.1101909     -68263.078     -152820.34      84557.258    
      8000   105506.36      384398.84      186848.04      1.0599864     -81538.35      -155373.22      73834.875    
      9000   94710.953      305287.7       194648.55      1.0175076     -92571.108     -158851.2       66280.091    
     10000   83925.297      251766.78      201892.17      0.98100079    -101880.2      -160612.34      58732.133    
     11000   75750.433      197065.55      208595.09      0.94947764    -109850.24     -162861.48      53011.246    
     12000   69154.858      164159.52      214863.36      0.92177827    -116790.41     -165185.98      48395.567    
     13000   63497.891      130388.97      220689.48      0.89744368    -122862.56     -167299.3       44436.74     
     14000   58969.21       121453.89      226144.82      0.87579446    -128238.97     -169506.47      41267.504    
     15000   54225.182      96139.39       231268.98      0.85638971    -133041.07     -170988.63      37947.565    
     16000   50235.811      78973.575      236002.79      0.83921203    -137338.16     -172493.91      35155.745    
     17000   46806.897      71904.356      240509.57      0.82348647    -141238.2      -173994.34      32756.142    
     18000   44618.595      66252.453      244648.3       0.80955548    -144750.75     -175975.49      31224.736    
     19000   41057.417      52889.407      248614.51      0.79664047    -147985.16     -176717.73      28732.572    
     20000   39139.499      49390.527      252328.64      0.78491437    -150950.42     -178340.8       27390.386    
     21000   37006.077      39486.979      255833.66      0.77416073    -153685.99     -179583.38      25897.387    
     22000   34715.989      37210.468      259140.96      0.76428048    -156213.97     -180508.72      24294.75     
     23000   32786.357      29015.342      262170.35      0.75544919    -158547.97     -181492.34      22944.366    
     24000   31267.035      30518.966      265016.62      0.74733568    -160709.84     -182590.96      21881.122    
     25000   29782.308      24189.386      267740.53      0.73973252    -162734.65     -183576.74      20842.089    
     26000   28129.758      20412.204      270282.12      0.73277647    -164629.61     -184315.22      19685.61     
     27000   26905.233      22646.913      272635.06      0.72645235    -166388.39     -185217.06      18828.67     
